BillingDate,ServiceCharges,GST,CleanEnergyLevy,CarbonTax,Balance
"Dec 6","177.15","10.51","0.71","33.01","221.38"
"Nov 7","89.33","5.22","0.36","15.10","110.01"
"Oct 5","35.24","1.99","0.14","4.61","41.98"
"Sep 6","33.94","1.90","0.14","4.09","40.07"
"Aug 5","35.66","2.01","0.14","4.61","42.42"
"Jul 6","42.94","2.48","0.17","6.65","278.18"
"Jun 6","69.98","4.14","0.28","12.79","146.00"
"May 6","95.01","5.67","0.38","18.42","146.00"
"Apr 5","102.84","6.08","0.41","18.79","146.00"
"Mar 9","136.27","8.07","0.55","25.13","146.00"
"Feb 7","141.11","8.37","0.56","26.28","108.00"
"Jan 11","229.46","13.80","0.92","46.57","108.00"
